MAC_PREFIX,VENDOR_NAME
00:13:A3,SiemensHome&OfficeCommDevices
00:13:A4,KeyEyeCommunications
00:13:A5,GeneralSolutionsLTD
00:13:A6,Extricom
00:13:A7,BattelleMemorialInstitute
00:13:A8,TanisysTechnology
00:13:A9,SonyCorporation
00:13:AA,ALS&TEC
00:13:AB,TelemotiveAG
00:13:AC,SunmyungElectronicsCoLTD
00:13:AD,Sendo
00:13:AE,RadianceTechnologies
00:13:AF,NUMATechnology
00:13:B0,Jablotron
00:13:B1,IntelligentControlSystems(Asia)Pte
00:13:B2,CarallonLimited
00:13:B3,EcomCommunicationsTechnologyCo
00:13:B4,AppearTV
00:13:B6,SlingMedia
00:13:B7,ScantechID
00:13:B8,RyCoElectronicSystemsLimited
00:13:B9,BmSpa
00:13:BA,ReadyLinks
00:13:BB,SmartvueCorporation
00:13:BC,Artimi
00:13:BD,HymatomSa
00:13:BE,VirtualConexions
00:13:BF,MediaSystemPlanningCorp
00:13:C0,TrixTecnologiaa
00:13:C1,AsokaUSACorporation
00:13:C2,WACOMCo
00:13:C3,CiscoSystems
00:13:C4,CiscoSystems
00:13:C5,LightronFiber-OpticDevices
00:13:C6,OpenGear
00:13:C7,IONOSCo
00:13:C8,ADBBroadbandItalia
00:13:C9,BeyondAchieveEnterprises
00:13:CA,PicoDigital
00:13:CB,ZenitelNorwayAS
00:13:CC,TallMapleSystems
00:13:CD,MTIcoLTD
00:13:CE,IntelCorporate
00:13:CF,4AccessCommunications
00:13:D0,t+Medical
00:13:D1,KIRKtelecomA/S
00:13:D2,PageIbericaSA
00:13:D3,Micro-StarInternationalCo
00:13:D4,ASUSTekCOMPUTERINC
00:13:D5,RuggedCom
00:13:D6,TiiNetworkTechnologies
00:13:D7,SPIDCOMTechnologiesSA
00:13:D8,PrincetonInstruments
00:13:D9,MatrixProductDevelopment
00:13:DA,DiskwareCo
00:13:DB,SHOEIElectricCo
00:13:DC,Ibtek
00:13:DD,AbbottDiagnostics
00:13:DE,Adapt4LLC
00:13:DF,RyvorCorp
00:13:E0,MurataManufacturingCo
00:13:E1,IprobeAB
00:13:E2,GeoVision
00:13:E3,CoViTechnologies
00:13:E4,YangjaeSystemsCorp
00:13:E5,Tenosys
00:13:E6,Technolution
00:13:E8,IntelCorporate
00:13:E9,VeriWave
00:13:EA,KamstrupA/S
00:13:EB,SysmasterCorporation
00:13:EC,NetsnapperTechnologiesSARL
00:13:EE,JBXDesigns
00:13:EF,KingjonDigitalTechnologyCo
00:13:F0,WavefrontSemiconductor
00:13:F1,AMODTechnologyCo
00:13:F2,Klas
00:13:F3,Giga-byteCommunications
00:13:F4,Psitek(Pty)
00:13:F5,AkimbiSystems
00:13:F7,SMCNetworks
00:13:F8,DexSecuritySolutions
00:13:F9,CaveraSystems
00:13:FA,LifeSizeCommunications
00:13:FB,RkcInstrument
00:13:FC,SiCortex
00:13:FD,NokiaDanmarkA/S
00:13:FE,GrandtecElectronicCorp
00:13:FF,Dage-MTIofMC
00:14:00,MinervaKoreaCo
00:14:01,RivertreeNetworksCorp
00:14:02,kk-electronica/s
00:14:03,RenasisLLC
00:14:04,ARRISGroup
00:14:05,OpenIB
00:14:06,GoNetworks
00:14:07,SperianProtectionInstrumentation
00:14:08,EkaSystems
00:14:09,MAGNETIMARELLISESpA
00:14:0A,WEPIOCo
00:14:0B,FirstInternationalComputer
00:14:0C,GkbCctvCo
00:14:0D,NortelNetworks
00:14:0E,NortelNetworks
00:14:0F,FederalStateUnitaryEnterpriseLeningradR&DInstituteof
00:14:10,SuzhouKedaTechnologyCO
00:14:11,DeutschmannAutomationGmbH&CoKG
00:14:12,S-TECelectronicsAG
00:14:13,Trebing&HimstedtProzeßautomationGmbH&CoKG
00:14:14,JumpnodeSystemsLLC
00:14:15,IntecAutomationinc
00:14:16,ScoscheIndustries
00:14:17,RSEInformationsTechnologieGmbH
00:14:1A,DeicyCorporation
00:14:1B,CiscoSystems
00:14:1C,CiscoSystems
00:14:1D,KEBAIndustrialAutomationGermanyGmbH
00:14:1E,PASemi
00:14:1F,SunKwangElectronicsCo
00:14:20,G-Linksnetworkingcompany
00:14:21,TotalWirelessTechnologiesPte
00:14:22,Dell
00:14:23,J-SCoNEUROCOM
00:14:24,MerryElectricsCOLTD
00:14:25,GalacticComputingCorp
00:14:26,NLTechnology
00:14:27,JazzMutant
00:14:28,Vocollect
00:14:29,VCenterTechnologiesCo
00:14:2A,ElitegroupComputerSystemsCo
00:14:2B,EdataCommunication
00:14:2C,KonceptInternational
00:14:2D,ToradexAG
00:14:2E,77ElektronikaKft
00:14:30,ViPowER
00:14:31,PDLElectronics
00:14:32,TarallaxWireless
00:14:33,EmpowerTechnologies(Canada)
00:14:34,KeriSystems
00:14:35,CityComCorp
00:14:36,QwertyElektronikAB
00:14:37,GSTeletechCo
00:14:38,HewlettPackardEnterprise
00:14:39,BlonderTongueLaboratories
00:14:3A,RaytalkInternationalSrl
00:14:3B,SensovationAG
00:14:3C,RheinmetallCanada
00:14:3D,Aevoe
00:14:3E,AirLinkCommunications
00:14:3F,HotwayTechnologyCorporation
00:14:40,ATOMICCorporation
00:14:41,InnovationSoundTechnologyCoLTD
00:14:42,AttoCorporation
00:14:43,ConsultronicsEurope
00:14:44,GrundfosHolding
00:14:45,Telefon-Gradnjadoo
00:14:46,SuperVisionSolutionsLLC
00:14:47,BOAZ
00:14:48,InventecMultimedia&TelecomCorporation
00:14:49,SichuanChanghongElectric
00:14:4A,TaiwanThick-FilmIndCorp
00:14:4B,Hifn
00:14:4C,GeneralMetersCorp
00:14:4D,IntelligentSystems
00:14:4F,OracleCorporation
00:14:50,HeimSystemsGmbH
00:14:51,Apple
00:14:52,Calculex
00:14:53,AdvantechTechnologiesCo
00:14:55,CoderElectronicsCorporation
00:14:56,EdgeProducts
00:14:57,T-VipsAs
00:14:58,HSAutomaticApS
00:14:59,MoramCo
00:14:5A,WestermoNeratecAG
00:14:5B,SeekerNet
00:14:5C,IntronicsBV
00:14:5D,WJCommunications
00:14:5E,IBMCorp
00:14:5F,AditecCo
00:14:60,KyoceraWirelessCorp
00:14:61,CoronaCorporation
00:14:62,DigiwellTechnologyinc
00:14:63,IdcsNV
00:14:64,Cryptosoft
00:14:65,NovoNordiskA/S
00:14:66,KleinhenzElektronikGmbH
00:14:67,ArrowSpan
00:14:68,CelPlanInternational
00:14:69,CiscoSystems
00:14:6A,CiscoSystems
00:14:6B,Anagran
00:14:6D,RFTechnologies
00:14:6E,HStollGmbH&CoKG
00:14:6F,KohlerCo
00:14:70,ProkomSoftwareSA
00:14:71,EasternAsiaTechnologyLimited
00:14:72,ChinaBroadbandWirelessIPStandardgroup(ChinaBWIPS)
00:14:73,Bookham
00:14:74,K40Electronics
00:14:75,WilineNetworks
00:14:76,MultiComIndustriesLimited
00:14:77,Trilliant
00:14:78,Tp-LinkTechnologiesCo
00:14:79,NECMagnusCommunications
00:14:7A,EubusGmbH
00:14:7B,Iteris
00:14:7C,3Com
00:14:7D,AeonDigitalInternational
00:14:7E,InnerWireless
00:14:7F,ThomsonTelecomBelgium
00:14:80,Hitachi-LGDataStorageKorea
00:14:81,Multilink
00:14:82,AuroraNetworks
00:14:83,eXS
00:14:84,CermateTechnologies
00:14:85,Giga-Byte
00:14:86,EchoDigitalAudioCorporation
00:14:87,AmericanTechnologyIntegrators
00:14:89,B15402100-JandeiSL
00:14:8A,ElinEbgTractionGmbh
00:14:8B,GloboElectronicGmbH&CoKG
00:14:8C,GeneralDynamicsMissionSystems
00:14:8D,CubicDefenseSimulationSystems
00:14:8E,TelePower
00:14:8F,Protronic(FarEast)
00:14:90,ASPCorporation
00:14:91,DanielsElectronicsdboCodanRadoCommunications
00:14:92,LiteonMobileMediaSolutionSBU
00:14:93,SystimaxSolutions
00:14:94,EsuAg
00:14:95,2Wire
00:14:96,PhonicCorp
00:14:97,ZHIYUANEletronicscoltd
00:14:98,VikingDesignTechnology
00:14:99,Helicomm
00:14:9A,ARRISGroup
00:14:9B,NokotaCommunicationsLLC
00:14:9C,HFCompany
00:14:9D,SoundID
00:14:9E,UbONECo
00:14:9F,SystemandChips
00:14:A0,Accsense
00:14:A1,SynchronousCommunicationCorp
00:14:A2,CoreMicroSystems
00:14:A3,VitelecBV
00:14:A4,HonHaiPrecisionIndCo
00:14:A5,GemtekTechnologyCo
00:14:A6,Teranetics
00:14:A7,NokiaDanmarkA/S
00:14:A8,CiscoSystems
00:14:A9,CiscoSystems
00:14:AA,AshlyAudio
00:14:AB,SenhaiElectronicTechnologyCo
00:14:AC,BountifulWiFi
00:14:AD,GassnerWiege-undMeßtechnikGmbH
00:14:AE,WizlogicsCo
00:14:AF,DatasymPOS
00:14:B0,NaeilCommunity
00:14:B1,AxellWirelessLimited
00:14:B2,mCubelogicsCorporation
00:14:B3,CoreStarInternationalCorp
00:14:B4,GeneralDynamicsUnitedKingdom
00:14:B5,Physiometrix
00:14:B6,EnswerTechnology
00:14:B7,ARInfotek
00:14:B9,MstarSemiconductor
00:14:BA,CarversSAdeCV
00:14:BB,OpenInterfaceNorthAmerica
00:14:BC,SynecticTelecomExportsPvt
00:14:BD,incNETWORKS
00:14:BE,WinkcommunicationtechnologyCOLTD
00:14:BF,Cisco-LinksysLLC
00:14:C0,SymstreamTechnologyGroup
00:14:C1,USRoboticsCorporation
00:14:C2,HewlettPackard
00:14:C3,SeagateTechnology
00:14:C4,VitelcomMobileTechnology
00:14:C5,AliveTechnologiesPty
00:14:C6,Quixant
00:14:C7,NortelNetworks
00:14:C8,ContemporaryResearchCorp
00:14:C9,BrocadeCommunicationsSystemsLLC
00:14:CA,KeyRadioSystemsLimited
00:14:CB,LifeSyncCorporation
00:14:CC,Zetec
00:14:CD,DigitalZoneCo
00:14:CE,NfCorporation
00:14:CF,INVISIOCommunications
00:14:D0,BTISystems
00:14:D1,TRENDnet
00:14:D2,KyudenTechnosystemsCorporation
00:14:D4,KTechnologyCorporation
00:14:D5,DatangTelecomTechnologyCOLCDOpticalCommunicationBr
00:14:D6,JeongminElectronicsCo
00:14:D7,DatastoreTechnologyCorp
00:14:D8,bio-logicSA
00:14:D9,IPFabrics
00:14:DA,HuntleighHealthcare
00:14:DB,ElmaTrenewElectronicGmbH
00:14:DC,CommunicationSystemDesign&Manufacturing(CSDM)
00:14:DD,Covergence
00:14:DE,SageInstruments
00:14:DF,HI-PTechCorporation
00:14:E0,LET'SCorporation
00:14:E1,DataDisplayAG
00:14:E2,datacomsystemsinc
00:14:E3,mm-labGmbH
00:14:E4,infiniasLLC
00:14:E6,AIMInfrarotmoduleGmbH
00:14:E7,Stolinx
00:14:E8,ARRISGroup
00:14:E9,NortechInternational
00:14:EA,SDigm(SafeParadigm)
00:14:EB,AwarePointCorporation
00:14:EC,AcroTelecom
00:14:ED,Airak
00:14:EE,WesternDigitalTechnologies
00:14:EF,TZeroTechnologies
00:14:F0,BusinessSecurityOLAB
00:14:F1,CiscoSystems
00:14:F2,CiscoSystems
00:14:F3,ViXSSystems
00:14:F4,DekTecDigitalVideoBV
00:14:F5,OSISecurityDevices
00:14:F6,JuniperNetworks
00:14:F7,CREVISCoLTD
00:14:F8,ScientificAtlanta
00:14:F9,VantageControls
00:14:FA,AsGaSA
00:14:FB,TechnicalSolutions
00:14:FC,Extandon
00:14:FD,ThecusTechnologyCorp
00:14:FE,ArtechElectronics
00:14:FF,PreciseAutomation
00:15:00,IntelCorporate
00:15:02,BETAtech
00:15:03,PROFIcommssro
00:15:04,GamePlusCo
00:15:05,ActiontecElectronics
00:15:06,NeoPhotonics
00:15:07,RenaissanceLearning
00:15:08,GlobalTargetEnterprise
00:15:09,PlusTechnologyCo
00:15:0A,SonoaSystems
00:15:0B,SageInfotech
00:15:0C,AVMGmbH
00:15:0D,HoanaMedical
00:15:0E,OpenbrainTechnologiesCo
00:15:10,TechsphereCo
00:15:11,DataCenterSystems
00:15:12,ZurichUniversityofAppliedSciences
00:15:13,EFSsas
00:15:14,HuZhouNAVANetworks&Electronics
00:15:15,Leipold+CoGmbH
00:15:16,UrielSystems
00:15:17,IntelCorporate
00:15:18,Shenzhen10MOONSTechnologyDevelopmentCO
00:15:19,StoreAgeNetworkingTechnologies
00:15:1A,HunterEngineeringCompany
00:15:1B,IsilonSystems
00:15:1D,M2ICorporation
00:15:1E,ETHERNETPowerlinkStandarizationGroup(EPSG)
00:15:1F,MultivisionIntelligentSurveillance(HongKong)
00:15:20,RadiocraftsAS
00:15:21,Horoquartz
00:15:22,DeaSecurity
00:15:23,MeteorCommunicationsCorporation
00:15:24,Numatics
00:15:25,ChamberlainAccessSolutions
00:15:26,RemoteTechnologies
00:15:27,BalboaInstruments
00:15:28,BeaconMedicalProductsLLCdbaBeaconMedaes
00:15:29,N3Corporation
00:15:2A,NokiaCorporation
00:15:2B,CiscoSystems
00:15:2C,CiscoSystems
00:15:2D,TenXNetworksLLC
00:15:2E,PacketHop
00:15:2F,ARRISGroup
00:15:30,DellEMC
00:15:32,ConsumerTechnologiesGroupLLC
00:15:33,NadamCo
00:15:34,ABeltrónica-CompanhiadeComunicaçõesLda
00:15:35,OTESpa
00:15:36,Powertechco
00:15:37,VentusNetworks
00:15:38,RFID
00:15:39,Technodrivesrl
00:15:3A,ShenzhenSyscanTechnologyCo
00:15:3B,EMHmeteringGmbH&CoKG
00:15:3C,KprotechCo
00:15:3D,ElimProductCo
00:15:3E,Q-MaticSwedenAB
00:15:3F,AlcatelAleniaSpaceItalia
00:15:40,NortelNetworks
00:15:41,StrataLightCommunications
00:15:42,MicrohardSRL
00:15:43,AberdeenTestCenter
00:15:44,coMsatAG
00:15:45,SEECODECo
00:15:46,ITGWorldwideSdnBhd
00:15:47,AiZenSolutions
00:15:48,CubeTechnologies
00:15:49,DixtalBiomedicaIndComa
00:15:4A,WanshihElectronicCo
00:15:4B,WondeProudTechnologyCo
00:15:4C,SaundersElectronics
00:15:4D,NetronomeSystems
00:15:4F,oneRFTechnology
00:15:50,NitsTechnology
00:15:51,RadioPulse
00:15:52,Wi-Gear
00:15:53,CytycCorporation
00:15:54,AtalumWirelessSA
00:15:55,DFMGmbH
00:15:56,SagemcomBroadbandSAS
00:15:59,SecuraplaneTechnologies
00:15:5A,DainipponPharmaceuticalCo
00:15:5B,SampoCorporation
00:15:5C,DresserWayne
00:15:5D,MicrosoftCorporation
00:15:5E,MorganStanley
00:15:5F,GreenPeakTechnologies
00:15:60,HewlettPackard
00:15:61,JJPlusCorporation
00:15:62,CiscoSystems
00:15:63,CiscoSystems
00:15:64,BEHRINGERSpezielleStudiotechnikGmbH
00:15:65,XiamenYealinkNetworkTechnologyCo
00:15:66,A-FirstTechnologyCo
00:15:67,RADWIN
00:15:68,DilithiumNetworks
00:15:69,PECOII
00:15:6A,DG2LTechnologiesPvt
00:15:6B,PerfisansNetworksCorp
00:15:6C,SaneSystemCo
00:15:6D,UbiquitiNetworks
00:15:6E,AWCommunicationSystems
00:15:6F,XiranetCommunicationsGmbH
00:15:70,ZebraTechnologies
00:15:71,NolanSystems
00:15:72,Red-Lemon
00:15:73,NewSoftTechnologyCorporation
00:15:74,HorizonSemiconductors
00:15:75,NevisNetworks
00:15:76,LABiTec-LaborBiomedicalTechnologiesGmbH
00:15:77,AlliedTelesis
00:15:78,Audio/VideoInnovations
00:15:79,LunatoneIndustrielleElektronikGmbH
00:15:7A,TelefinSpA
00:15:7B,LeuzeelectronicGmbH+CoKG
00:15:7C,DaveNetworks
00:15:7E,WeidmüllerInterfaceGmbH&CoKG
00:15:7F,ChuanGInternationalHoldingCOLTD
00:15:80,U-WayCorporation
00:15:81,MAKUS
00:15:82,PulseEightLimited
00:15:83,IVTcorporation
00:15:84,SchenckProcessGmbH
00:15:85,AonvisionTechnolopyCorp
00:15:86,XiamenOverseasChineseElectronicCo
00:15:87,TakenakaSeisakushoCo
00:15:88,SaluticaAlliedSolutionsSdnBhd
00:15:89,D-MAXTechnologyCo
00:15:8A,SURECOMTechnologyCorp
00:15:8B,ParkAirSystems
00:15:8C,LiabApS
00:15:8D,Jennic
00:15:8E,PlustekINC
00:15:8F,NTTAdvancedTechnologyCorporation
00:15:90,HectronicGmbH
00:15:91,RLW
00:15:92,FacomUK(Melksham)
00:15:93,U4EATechnologies
00:15:94,BixolonCo
00:15:95,QuesterTangentCorporation
00:15:96,ARRISGroup
00:15:97,AetaAudioSystems
00:15:98,Kolektorgroup
00:15:99,SamsungElectronicsCo
00:15:9A,ARRISGroup
00:15:9B,NortelNetworks
00:15:9C,B-KYUNGSYSTEMCo
00:15:9D,TrippLite
00:15:9E,MadCatzInteractive
00:15:9F,Terascala
00:15:A0,NokiaDanmarkA/S
00:15:A1,Eca-Sinters
00:15:A2,ARRISGroup
00:15:A3,ARRISGroup
00:15:A4,ARRISGroup
00:15:A5,DCICo
00:15:A6,DigitalElectronicsProducts
00:15:A7,RobatechAG
00:15:A8,ARRISGroup
00:15:A9,KwangWooI&CCo
00:15:AA,RextechnikInternationalCo
00:15:AB,ProCoSound
00:15:AC,CapelonAB
00:15:AD,AccedianNetworks
00:15:AE,kyungil
00:15:AF,AzureWaveTechnology
00:15:B0,AutotelenetCo
00:15:B1,AmbientCorporation
00:15:B2,AdvancedIndustrialComputer
00:15:B3,CaretechAB
00:15:B4,PolymapWirelessLLC
00:15:B5,CINetworkCorp
00:15:B6,ShinMaywaIndustries
00:15:B9,SamsungElectronicsCo
00:15:BA,ibaAG
00:15:BB,SMASolarTechnologyAG
00:15:BD,Group4Technology
00:15:BE,Iqua
00:15:BF,technicob
00:15:C0,DigitalTelemediaCo
00:15:C1,SonyInteractiveEntertainment
00:15:C2,3MGermany
00:15:C3,RufTelematikAG
00:15:C4,FlovelCo
00:15:C5,Dell
00:15:C6,CiscoSystems
00:15:C7,CiscoSystems
00:15:C8,FlexiPanel
00:15:C9,Gumstix
00:15:CA,TeraRecon
00:15:CB,SurfCommunicationSolutions
00:15:CC,Uquest
00:15:CD,ExartechInternationalCorp
00:15:CE,ARRISGroup
00:15:CF,ARRISGroup
00:15:D0,ARRISGroup
00:15:D1,ARRISGroup
00:15:D2,XantechCorporation
00:15:D3,Pantech&CuritelCommunications
00:15:D4,EmitorAB
00:15:D6,OSLiNKSpzoo
00:15:D7,RetiCorporation
00:15:D8,InterlinkElectronics
00:15:D9,PKCElectronicsOy
00:15:DA,IritelAD
00:15:DB,Canesta
00:15:DC,KT&CCo
00:15:DD,IPControlSystems
00:15:DE,NokiaDanmarkA/S
00:15:DF,ClivetSpA
00:15:E1,Picochip
00:15:E2,DrIngHerbertKnauerGmbH
00:15:E3,DreamTechnologiesCorporation
00:15:E4,ZimmerElektromedizin
00:15:E5,Cheertek
00:15:E6,MOBILETECHNIKA
00:15:E7,QuantecTontechnik
00:15:E8,NortelNetworks
00:15:E9,D-LinkCorporation
00:15:EA,Tellumat(Pty)
00:15:EB,ztecorporation
00:15:EC,BocaDevicesLLC
00:15:ED,FulcrumMicrosystems
00:15:EE,OmnexControlSystems
00:15:EF,NECTOKINCorporation
00:15:F0,EgoBv
00:15:F1,KYLINKCommunicationsCorp
00:15:F2,ASUSTekCOMPUTERINC
00:15:F3,PeltorAb
00:15:F5,SustainableEnergySystems
00:15:F6,ScienceAndEngineeringServices
00:15:F7,Wintecronics
00:15:F8,KingtronicsIndustrialCo
00:15:F9,CiscoSystems
00:15:FA,CiscoSystems
00:15:FB,setexschermulytextilecomputergmbh
00:15:FC,LittelfuseStartco
00:15:FD,CompleteMediaSystems
00:15:FE,SchillingRoboticsLlc
00:15:FF,NovatelWirelessSolutions
00:16:00,CelleBriteMobileSynchronization
00:16:01,Buffalo
00:16:02,CeyonTechnologyCo
00:16:03,COOLKSKYCoLTD
00:16:05,YorkvilleSound
00:16:06,IdealIndustries
00:16:07,CurvesInternational
00:16:08,SequansCommunications
00:16:09,Unitechelectronicscoltd
00:16:0A,SWEEXEuropeBV
00:16:0B,TVWorksLLC
00:16:0C,LplDevelopmentSADeCV
00:16:0D,BeHereCorporation
00:16:0E,OpticaTechnologies
00:16:0F,BadgerMeter
00:16:10,CarinaTechnology
00:16:11,AlteconSrl
00:16:12,OtsukaElectronicsCo
00:16:13,LibreStreamTechnologies
00:16:14,PicosecondPulseLabs
00:16:15,NittanCompanyLimited
00:16:16,BrowanCommunication
00:16:18,HIVIONCo
00:16:19,LancelanTechnologiesSL
00:16:1A,DametricAB
00:16:1B,MicronetCorporation
00:16:1C,e:cue
00:16:1D,InnovativeWirelessTechnologies
00:16:1E,Woojinnet
00:16:1F,SUNWAVETECCo
00:16:20,SonyCorporation
00:16:21,ColoradoVnet
00:16:22,BbhSystemsGmbh
00:16:23,IntervalMedia
00:16:24,Teneros
00:16:25,Impinj
00:16:26,ARRISGroup
00:16:27,embedded-logicDESIGNANDMOREGmbH
00:16:28,Magicard
00:16:29,NivusGmbH
00:16:2A,Antikcomputers&communicationssro
00:16:2B,TogamiElectricMfgco
00:16:2D,STNetCo
00:16:2E,SpaceShuttleHi-TechCo
00:16:2F,GeutebrückGmbH
00:16:30,VativTechnologies
00:16:32,SamsungElectronicsCo
00:16:33,OxfordDiagnostics
00:16:34,Mathtech
00:16:35,HewlettPackard
00:16:36,QuantaComputer
00:16:37,CITELSpA
00:16:38,TECOMCo
00:16:39,UbiquamCo
00:16:3A,YvesTechnologyCo
00:16:3B,Communications&PowerIndustries
00:16:3C,ReboxBV
00:16:3D,TsinghuaTongfangLegendSiliconTechCo
00:16:3E,Xensource
00:16:3F,CReTESYSTEMS
00:16:40,AsmobileCommunication
00:16:41,UniversalGlobalScientificIndustrialCo
00:16:43,SunhilloCorporation
00:16:44,LITE-ONTechnologyCorp
00:16:45,PowerDistribution
00:16:46,CiscoSystems
00:16:47,CiscoSystems
00:16:48,SSDCompanyLimited
00:16:49,SetOneGmbH
00:16:4A,VibrationTechnologyLimited
00:16:4B,QuorionDataSystemsGmbH
00:16:4C,PLANETINTCo
00:16:4D,Alcatel-LucentIPD
00:16:4E,NokiaDanmarkA/S
00:16:4F,WorldEthnicBroadcastin
00:16:50,KratosEPD
00:16:51,ExeoSystems
00:16:52,HoatechTechnologies
00:16:53,LEGOSystemA/SIEElectronicsDivision
00:16:54,Flex-PIndustriesSdnBhd
00:16:55,FUHOTECHNOLOGYCoLTD
00:16:56,NintendoCo
00:16:57,Aegate
00:16:58,FusiontechTechnologies
00:16:59,ZMPRadwag
00:16:5A,HarmanSpecialtyGroup
00:16:5B,GripAudio
00:16:5C,Trackflow
00:16:5D,AirDefense
00:16:5E,PrecisionI/O
00:16:5F,FairmountAutomation
00:16:60,NortelNetworks
00:16:61,NovatiumSolutions(P)
00:16:62,LiyuhTechnology
00:16:63,KBTMobile
00:16:64,Prod-ElSpA
00:16:65,CellonFrance
00:16:66,QuantierCommunication
00:16:67,A-TECSubsystemINC
00:16:68,EishinElectronics
00:16:69,MRVCommunication(Networks)LTD
00:16:6B,SamsungElectronicsCo
00:16:6C,SamsungElectronicsCo
00:16:6D,YulongComputerTelecommunicationScientific(Shenzhen)Co
00:16:6E,Arbitron
00:16:6F,IntelCorporate
00:16:70,SKNETCorporation
00:16:71,SymphoxInformationCo
00:16:72,Zenwayenterpriseltd
00:16:73,BuryGmbH&CoKG
00:16:74,EuroCB(Phils)
00:16:75,ARRISGroup
00:16:76,IntelCorporate
00:16:77,Bihl+WiedemannGmbH
00:16:78,ShenzhenBaoanGaokeElectronicsCo
00:16:79,eOnCommunications
00:16:7A,SkyworthOverseasDevelopment
00:16:7B,Haver&Boecker
00:16:7C,iRexTechnologiesBV
00:16:7D,Sky-LineInformationCo
00:16:7E,DibossCo
00:16:7F,BluebirdSoft
00:16:80,BallyGaming+Systems
00:16:81,VectorInformatikGmbH
00:16:82,ProDex
00:16:83,WEBIOInternationalCo
00:16:84,DonjinCo
00:16:85,ElisaOyj
00:16:86,KarlStorzImaging
00:16:87,ChubbCSC-VendorAP
00:16:88,ServerEnginesLLC
00:16:89,PilkorElectronicsCo
00:16:8A,id-Confirm
00:16:8B,ParalanCorporation
00:16:8C,DSLPartnerAS
00:16:8D,KORWINCO
00:16:8E,Vimicrocorporation
00:16:8F,GNNetcomA/S
00:16:90,J-Tekorporation
00:16:91,Moser-BaerAG
00:16:92,Scientific-Atlanta
00:16:93,PowerLinkTechnology
00:16:94,SennheiserCommunicationsA/S
00:16:95,AVCTechnology(International)Limited
00:16:96,QDITechnology(HK)Limited
00:16:97,NECCorporation
00:16:98,T&AMobilePhones
00:16:99,TonicDVBMarketing
00:16:9A,Quadrics
00:16:9B,AlstomTransport
00:16:9C,CiscoSystems
00:16:9D,CiscoSystems
00:16:9E,TVOne
00:16:9F,VimtronElectronicsCo
00:16:A0,Auto-Maskin
00:16:A1,3LeafNetworks
00:16:A2,CentraLiteSystems
00:16:A3,IngeteamTransmission&DistributionSA
00:16:A4,Ezurio
00:16:A5,TandbergStorageASA
00:16:A6,DovadoFZ-LLC
00:16:A7,AwetaG&P
00:16:A8,CwtCo
00:16:AA,KeiCommunicationTechnology
00:16:AB,DansensorA/S
00:16:AC,TohoTechnologyCorp
00:16:AD,BT-LinksCompanyLimited
00:16:AF,ShenzhenUnionNetworksEquipmentCo
00:16:B0,VKCorporation
00:16:B2,DriveCam
00:16:B3,Photonicbridges(China)Co
00:16:B5,ARRISGroup
00:16:B6,Cisco-LinksysLLC
00:16:B7,SeoulCommtech
00:16:B8,SonyCorporation
00:16:B9,ProCurveNetworkingbyHP
00:16:BA,Weathernews
00:16:BB,Law-ChainComputerTechnologyCo
00:16:BC,NokiaDanmarkA/S
00:16:BD,ATIIndustrialAutomation
00:16:BE,INFRANET
00:16:BF,PaloDExGroupOy
00:16:C0,SemtechCorporation
00:16:C1,Eleksen
00:16:C2,AvtecSystems
00:16:C3,BASystems
00:16:C4,SiRFTechnology
00:16:C5,ShenzhenXingFengIndustryCo
00:16:C6,NorthAtlanticIndustries
00:16:C7,CiscoSystems
00:16:C8,CiscoSystems
00:16:C9,NATSeattle
00:16:CA,NortelNetworks
00:16:CB,Apple
00:16:CC,XcuteMobileCorp
00:16:CD,HijiHigh-TechCo
00:16:CE,HonHaiPrecisionIndCo
00:16:CF,HonHaiPrecisionIndCo
00:16:D0,ATechelektronikadoo
00:16:D1,ZATas
00:16:D3,WistronCorporation
00:16:D4,CompalCommunications
00:16:D5,SynccomCo
00:16:D6,TDATechPty
00:16:D7,SunwaysAG
00:16:D8,SeneaAB
00:16:D9,NingboBirdCo
00:16:DA,FutronicTechnologyCo
00:16:DB,SamsungElectronicsCo
00:16:DD,GigabeamCorporation
00:16:DE,FAST
00:16:DF,LundinovaAB
00:16:E0,3Com
00:16:E1,SiliconStor
00:16:E2,AmericanFibertek
00:16:E3,AskeyComputerCorp
00:16:E4,VanguardSecurityEngineeringCorp
00:16:E5,FordleyDevelopmentLimited
00:16:E6,Giga-ByteTechnologyCo
00:16:E7,DynamixPromotionsLimited
00:16:E8,SigmaDesigns
00:16:E9,TibaMedical
00:16:EA,IntelCorporate
00:16:EB,IntelCorporate
00:16:EC,ElitegroupComputerSystemsCo
00:16:ED,Utility
00:16:EE,Royaldigital
00:16:EF,KokoFitness
00:16:F1,OmniSenseLLC
00:16:F2,DmobileSystemCo
00:16:F3,CASTInformationCo
00:16:F4,EidicomCo
00:16:F5,DalianGoldenHualuDigitalTechnologyCo
00:16:F6,VideoProductsGroup
00:16:F7,L-3CommunicationsAviationRecorders
00:16:F8,AviqtechTechnologyCo
00:16:F9,CETRTAPOTdooKranj
00:16:FA,ECITelecom
00:16:FB,ShenzhenMtcCo
00:16:FC,TohkenCo
00:16:FD,JatyElectronics
00:16:FE,AlpsalpineCo
00:16:FF,WaminOptocommMfgCorp
00:17:00,ARRISGroup
00:17:01,KDE
